start_ts,hour_ny,strike,sigma,sd_usd,cents_per_usd,crossings,recrosses,max_up,max_down,flip_x4,flip_x5,flip_x6,flip_x7,flip_x8
1700028020,1,99379.02,6.622,198.7,0.2008,2,1,174.8,90.2,1,1,1,1,1
1700028920,1,99449.53,9.0502,271.5,0.1469,0,0,236.9,0.0,0,0,0,0,0
1700029820,1,99680.1,9.4412,283.2,0.1409,5,4,160.6,33.7,1,0,0,0,0
1700030720,1,99526.9,8.3452,250.4,0.1594,2,1,46.9,203.4,1,1,1,1,0
1700031620,2,99235.5,8.4883,254.7,0.1567,7,6,71.9,66.8,1,1,1,1,1
1700032520,2,99133.65,7.9508,238.5,0.1673,0,0,269.0,0.0,0,0,0,0,0
1700033420,2,99333.41,10.1713,305.1,0.1307,5,4,106.7,169.8,1,1,1,1,1
1700034320,2,99286.45,9.4199,282.6,0.1412,0,0,0.0,285.7,0,0,0,0,0
1700035220,3,99377.66,7.2914,218.7,0.1824,0,0,760.6,0.0,0,0,0,0,0
1700036120,3,99992.5,7.819,234.6,0.1701,0,0,0.0,454.2,0,0,0,0,0
1700037020,3,99631.66,7.7203,231.6,0.1722,4,3,90.0,119.6,1,1,1,1,1
1700037920,3,99601.18,7.9384,238.2,0.1675,1,0,115.6,408.0,1,1,1,1,1
1700038820,4,99148.65,9.3434,280.3,0.1423,5,4,128.7,113.6,1,1,1,1,1
1700039720,4,99215.11,9.7672,293.0,0.1362,1,0,310.1,213.4,1,1,1,1,1
1700040620,4,99521.04,8.675,260.2,0.1533,2,1,285.3,95.2,1,1,1,1,1
1700041520,4,99833.75,10.2225,306.7,0.1301,3,2,215.4,20.4,0,0,0,0,0
1700042420,5,99926.41,8.3089,249.3,0.16,0,0,403.6,0.0,0,0,0,0,0
1700043320,5,100246.87,9.442,283.3,0.1408,1,0,227.5,111.8,1,1,1,1,1
1700044220,5,100263.73,9.6463,289.4,0.1379,6,5,81.0,158.5,1,1,1,1,1
1700045120,5,100361.13,9.2324,277.0,0.144,1,0,540.5,94.6,1,1,1,1,1
1700046020,6,100746.07,11.6176,348.5,0.1145,3,2,169.8,147.4,1,1,1,1,1
1700046920,6,100568.11,8.1283,243.8,0.1636,0,0,0.0,391.4,0,0,0,0,0
1700047820,6,100274.94,9.4666,284.0,0.1405,0,0,545.4,0.0,0,0,0,0,0
1700048720,6,100543.37,10.1459,304.4,0.1311,1,0,5.2,409.6,0,0,0,0,0
1700049620,7,100252.6,8.984,269.5,0.148,3,2,122.9,191.3,1,1,1,1,1
1700050520,7,100042.05,7.4505,223.5,0.1785,3,2,83.7,170.2,1,1,1,1,1
1700051420,7,100080.52,9.1947,275.8,0.1446,1,0,385.5,149.3,1,1,1,1,1
1700052320,7,100423.34,7.8063,234.2,0.1704,1,0,42.3,486.1,1,1,1,1,0
1700053220,8,100031.54,10.5339,316.0,0.1262,0,0,0.0,343.4,0,0,0,0,0
1700054120,8,99732.67,6.6353,199.1,0.2004,2,1,2.3,167.7,0,0,0,0,0
1700055020,8,99798.03,8.3366,250.1,0.1595,0,0,203.1,0.0,0,0,0,0,0
1700055920,8,99952.94,8.8839,266.5,0.1497,1,0,35.3,421.3,1,1,0,0,0
1700056820,9,99596.24,6.1919,185.8,0.2148,2,1,93.1,50.7,1,1,1,1,1
1700057720,9,99643.21,8.6636,259.9,0.1535,2,1,4.6,340.4,0,0,0,0,0
1700058620,9,99414.55,7.5686,227.1,0.1757,0,0,0.0,221.4,0,0,0,0,0
1700059520,9,99291.49,7.6072,228.2,0.1748,0,0,276.7,0.0,0,0,0,0,0
1700060420,10,99499.5,5.9057,177.2,0.2252,0,0,648.7,0.0,0,0,0,0,0
1700061320,10,100135.83,7.8925,236.8,0.1685,2,1,336.9,64.3,1,1,1,1,1
1700062220,10,100404.24,10.4393,313.2,0.1274,2,1,305.8,60.2,1,1,1,1,0
1700063120,10,100511.89,5.4171,162.5,0.2455,1,0,376.3,32.4,1,1,1,1,0
1700064020,11,100987.89,9.4874,284.6,0.1402,4,3,121.7,237.4,1,1,1,1,1
1700064920,11,100903.19,8.7535,262.6,0.1519,1,0,261.2,0.3,0,0,0,0,0
1700065820,11,101018.89,9.4653,284.0,0.1405,0,0,395.0,0.0,0,0,0,0,0
1700066720,11,101360.16,10.0943,302.8,0.1317,1,0,315.6,14.5,0,0,0,0,0
1700067620,12,101446.73,9.8596,295.8,0.1349,0,0,307.7,0.0,0,0,0,0,0
1700068520,12,101592.37,5.0888,152.7,0.2613,0,0,0.0,343.5,0,0,0,0,0
1700069420,12,101134.48,8.0942,242.8,0.1643,2,1,143.1,35.8,1,1,0,0,0
1700070320,12,101144.04,7.8797,236.4,0.1688,1,0,125.8,257.1,1,1,1,1,1
1700071220,13,101234.05,6.7207,201.6,0.1979,3,2,93.8,145.5,1,1,1,1,1
1700072120,13,101372.0,10.8716,326.1,0.1223,0,0,391.2,0.0,0,0,0,0,0
1700073020,13,101846.96,10.4568,313.7,0.1272,1,0,40.8,392.4,1,1,0,0,0
1700073920,13,101776.2,11.7668,353.0,0.113,3,2,225.7,256.4,1,1,1,1,1
1700074820,14,101771.44,11.1676,335.0,0.1191,4,3,53.9,185.6,1,1,1,0,0
1700075720,14,101843.0,9.0254,270.8,0.1473,0,0,0.0,489.9,0,0,0,0,0
1700076620,14,101360.25,9.4751,284.3,0.1403,3,2,157.7,44.3,1,1,1,0,0
1700077520,14,101307.71,9.7595,292.8,0.1363,2,1,268.1,0.1,0,0,0,0,0
1700078420,15,101670.06,7.9793,239.4,0.1667,0,0,0.0,421.0,0,0,0,0,0
1700079320,15,101523.73,8.3413,250.2,0.1594,1,0,84.9,206.1,1,1,1,1,1
1700080220,15,101459.79,7.4926,224.8,0.1775,0,0,724.5,0.0,0,0,0,0,0
1700081120,15,102157.5,8.7337,262.0,0.1523,3,2,79.3,217.7,1,1,1,1,1
1700082020,16,102019.93,8.8686,266.1,0.1499,0,0,0.0,367.4,0,0,0,0,0
1700082920,16,101730.06,10.1399,304.2,0.1311,2,1,227.4,128.6,1,1,1,1,1
1700083820,16,101694.56,11.1279,333.8,0.1195,0,0,0.0,414.6,0,0,0,0,0
1700084720,16,101433.24,6.4111,192.3,0.2074,1,0,379.1,68.2,1,1,1,1,1
1700085620,17,101760.49,9.4308,282.9,0.141,2,1,100.3,211.9,1,1,1,1,1
1700086520,17,101581.03,9.4076,282.2,0.1414,6,5,112.4,47.0,1,1,1,0,0
1700087420,17,101620.78,7.5741,227.2,0.1756,1,0,214.5,100.3,1,1,1,1,1
1700088320,17,101449.39,7.1509,214.5,0.186,0,0,0.0,202.8,0,0,0,0,0
1700089220,18,101520.75,8.3166,249.5,0.1599,2,1,103.2,227.9,1,1,1,1,1
1700090120,18,101530.74,7.3263,219.8,0.1815,0,0,0.0,215.0,0,0,0,0,0
1700091020,18,101490.49,7.8702,236.1,0.169,0,0,762.8,0.0,0,0,0,0,0
1700091920,18,102138.1,8.8265,264.8,0.1507,0,0,0.0,374.6,0,0,0,0,0
1700092820,19,101947.01,8.5656,257.0,0.1552,1,0,65.8,336.2,1,1,1,1,1
1700093720,19,101857.06,6.0955,182.9,0.2182,6,5,71.6,63.8,1,1,1,1,1
1700094620,19,101877.96,8.3925,251.8,0.1585,1,0,182.8,280.0,1,1,1,1,1
1700095520,19,101998.39,8.4633,253.9,0.1571,0,0,0.0,395.6,0,0,0,0,0
1700096420,20,101526.31,8.7691,263.1,0.1516,3,2,15.9,184.9,0,0,0,0,0
1700097320,20,101407.78,7.9366,238.1,0.1676,2,1,190.1,11.1,0,0,0,0,0
1700098220,20,101567.23,8.5398,256.2,0.1557,1,0,261.3,91.9,1,1,1,1,1
1700099120,20,101739.47,8.1846,245.5,0.1625,3,2,132.1,100.1,1,1,1,1,1
1700100020,21,101583.81,10.6146,318.4,0.1253,3,2,231.3,284.7,1,1,1,1,1
1700100920,21,101814.93,9.6526,289.6,0.1378,0,0,544.0,0.0,0,0,0,0,0
1700101820,21,102173.77,9.9777,299.3,0.1333,0,0,0.0,488.4,0,0,0,0,0
1700102720,21,101803.6,9.7426,292.3,0.1365,3,2,23.2,203.8,0,0,0,0,0
1700103620,22,101922.06,8.4805,254.4,0.1568,1,0,33.0,417.0,1,1,0,0,0
1700104520,22,101417.66,10.0614,301.8,0.1322,2,1,81.1,204.1,1,1,1,1,1
1700105420,22,101603.52,9.3763,281.3,0.1418,4,3,74.7,117.1,1,1,1,1,1
1700106320,22,101664.31,9.2042,276.1,0.1445,6,5,92.3,139.7,1,1,1,1,1
1700107220,23,101560.49,8.3139,249.4,0.16,5,4,94.6,59.5,1,1,1,1,1
1700108120,23,101684.66,7.8164,234.5,0.1701,0,0,0.0,650.0,0,0,0,0,0
1700109020,23,100962.3,8.5438,256.3,0.1556,2,1,187.1,0.6,0,0,0,0,0
1700109920,23,101025.49,6.2811,188.4,0.2117,1,0,19.6,191.2,1,0,0,0,0
1700110820,0,100823.07,9.7575,292.7,0.1363,0,0,0.0,341.6,0,0,0,0,0
1700111720,0,100596.32,6.4466,193.4,0.2063,4,3,279.3,7.9,0,0,0,0,0
1700112620,0,100838.77,9.3079,279.2,0.1429,4,3,91.5,257.6,1,1,1,1,1
1700113520,0,100556.95,9.7132,291.4,0.1369,0,0,0.0,235.6,0,0,0,0,0
1700114420,1,100332.41,8.3256,249.8,0.1597,4,3,140.7,35.7,1,1,0,0,0
1700115320,1,100397.65,7.9951,239.9,0.1663,3,2,389.8,85.6,1,1,1,1,1
1700116220,1,100834.1,8.2961,248.9,0.1603,1,0,5.3,226.4,0,0,0,0,0
1700117120,1,100912.25,8.0736,242.2,0.1647,0,0,536.1,0.0,0,0,0,0,0
1700118020,2,101378.24,7.3912,221.7,0.1799,0,0,287.3,0.0,0,0,0,0,0
1700118920,2,101602.33,8.3705,251.1,0.1589,0,0,332.9,0.0,0,0,0,0,0
1700119820,2,101841.46,8.5742,257.2,0.1551,3,2,172.9,78.6,1,1,1,1,1
1700120720,2,101804.15,10.0901,302.7,0.1318,2,1,89.4,325.9,1,1,1,1,1
1700121620,3,101598.63,9.7868,293.6,0.1359,6,5,150.5,99.8,1,1,1,1,1
1700122520,3,101598.6,9.4978,284.9,0.14,0,0,0.0,288.6,0,0,0,0,0
1700123420,3,101488.4,9.276,278.3,0.1434,1,0,158.1,227.6,1,1,1,1,1
1700124320,3,101143.61,8.5311,255.9,0.1559,1,0,193.5,105.7,1,1,1,1,1
1700125220,4,101061.88,8.6971,260.9,0.1529,1,0,228.3,66.1,1,1,1,1,1
1700126120,4,101237.64,9.1237,273.7,0.1458,2,1,189.3,210.8,1,1,1,1,1
1700127020,4,101025.27,6.2518,187.6,0.2127,2,1,6.4,213.8,0,0,0,0,0
1700127920,4,100877.69,8.0434,241.3,0.1653,2,1,549.5,9.4,0,0,0,0,0
1700128820,5,101467.28,9.3192,279.6,0.1427,0,0,344.7,0.0,0,0,0,0,0
1700129720,5,101574.99,8.9704,269.1,0.1482,1,0,8.8,588.0,0,0,0,0,0
1700130620,5,101172.89,7.8923,236.8,0.1685,3,2,148.6,113.4,1,1,1,1,1
1700131520,5,101112.17,9.5906,287.7,0.1387,4,3,126.9,79.5,1,1,1,1,1
1700132420,6,101132.89,8.122,243.7,0.1637,4,3,73.9,142.0,1,1,1,1,1
1700133320,6,101165.75,9.925,297.7,0.134,0,0,0.0,270.4,0,0,0,0,0
1700134220,6,100952.48,8.9688,269.1,0.1483,1,0,130.9,414.4,1,1,1,1,1
1700135120,6,100494.43,8.4057,252.2,0.1582,0,0,0.0,451.8,0,0,0,0,0
1700136020,7,100228.44,10.3074,309.2,0.129,3,2,190.0,93.0,1,1,1,1,1
1700136920,7,100384.03,8.6153,258.5,0.1544,0,0,244.2,0.0,0,0,0,0,0
1700137820,7,100591.01,9.2638,277.9,0.1435,1,0,313.3,111.6,1,1,1,1,1
1700138720,7,100822.22,9.7105,291.3,0.1369,1,0,261.6,149.8,1,1,1,1,1
1700139620,8,100741.4,9.2703,278.1,0.1434,3,2,161.3,54.9,1,1,1,1,0
1700140520,8,100667.43,9.9607,298.8,0.1335,2,1,167.5,272.8,1,1,1,1,1
1700141420,8,100745.11,7.3987,222.0,0.1797,0,0,745.4,0.0,0,0,0,0,0
1700142320,8,101513.94,9.382,281.5,0.1417,2,1,97.3,274.6,1,1,1,1,1
1700143220,9,101294.54,9.1182,273.5,0.1458,0,0,513.7,0.0,0,0,0,0,0
1700144120,9,101857.09,8.9936,269.8,0.1479,1,0,202.7,320.7,1,1,1,1,1
1700145020,9,101596.68,9.8581,295.7,0.1349,5,4,58.6,290.8,1,1,1,1,0
1700145920,9,101406.09,9.6821,290.5,0.1373,2,1,507.7,32.3,1,0,0,0,0
1700146820,10,101842.87,8.7683,263.1,0.1517,4,3,186.1,60.4,1,1,1,1,1
1700147720,10,101913.92,9.3661,281.0,0.142,2,1,105.0,281.7,1,1,1,1,1
1700148620,10,101563.31,7.5829,227.5,0.1754,5,4,402.1,64.5,1,1,1,1,1
1700149520,10,101973.5,9.1853,275.6,0.1448,0,0,311.2,0.0,0,0,0,0,0
1700150420,11,102348.26,8.468,254.0,0.157,0,0,319.2,0.0,0,0,0,0,0
1700151320,11,102481.69,9.2425,277.3,0.1439,1,0,62.3,142.1,1,1,1,1,1
1700152220,11,102356.59,7.8563,235.7,0.1693,1,0,70.0,259.3,1,1,1,1,1
1700153120,11,102137.93,9.1145,273.4,0.1459,2,1,332.0,2.6,0,0,0,0,0
1700154020,12,102359.78,8.7425,262.3,0.1521,5,4,81.4,83.4,1,1,1,1,1
1700154920,12,102317.61,9.0596,271.8,0.1468,1,0,464.8,52.4,1,1,1,1,0
1700155820,12,102671.48,7.5488,226.5,0.1762,5,4,202.1,120.3,1,1,1,1,1
1700156720,12,102820.74,8.2001,246.0,0.1622,4,3,120.8,13.3,0,0,0,0,0
1700157620,13,102937.91,10.2262,306.8,0.13,3,2,91.6,146.5,1,1,1,1,1
1700158520,13,103000.92,9.8312,294.9,0.1353,2,1,203.9,18.4,0,0,0,0,0
1700159420,13,103139.94,8.9366,268.1,0.1488,0,0,0.0,298.8,0,0,0,0,0
1700160320,13,103065.12,9.5357,286.1,0.1395,3,2,164.6,224.4,1,1,1,1,1
1700161220,14,102790.75,9.6277,288.8,0.1381,1,0,181.7,89.7,1,1,1,1,1
1700162120,14,102760.27,8.5823,257.5,0.1549,4,3,140.2,64.7,1,1,1,1,1
1700163020,14,102731.73,8.4469,253.4,0.1574,2,1,174.1,182.7,1,1,1,1,1
1700163920,14,102823.7,9.4322,283.0,0.141,2,1,23.3,210.6,0,0,0,0,0
1700164820,15,102840.33,8.4339,253.0,0.1577,1,0,27.9,283.8,1,0,0,0,0
1700165720,15,102650.4,9.554,286.6,0.1392,0,0,545.6,0.0,0,0,0,0,0
1700166620,15,103055.75,10.3113,309.3,0.129,4,3,77.1,169.0,1,1,1,1,1
1700167520,15,102937.01,7.2397,217.2,0.1837,0,0,0.0,258.8,0,0,0,0,0
1700168420,16,102747.18,8.1326,244.0,0.1635,0,0,496.0,0.0,0,0,0,0,0
1700169320,16,103138.76,8.3965,251.9,0.1584,5,4,153.0,158.4,1,1,1,1,1
1700170220,16,103204.89,6.7062,201.2,0.1983,0,0,400.8,0.0,0,0,0,0,0
1700171120,16,103538.41,8.9112,267.3,0.1492,0,0,0.0,225.9,0,0,0,0,0
1700172020,17,103431.26,9.7669,293.0,0.1362,2,1,87.0,227.7,1,1,1,1,1
1700172920,17,103392.77,9.4141,282.4,0.1413,2,1,322.8,106.6,1,1,1,1,1
1700173820,17,103577.57,9.6652,290.0,0.1376,0,0,0.0,571.0,0,0,0,0,0
1700174720,17,102991.29,8.0019,240.1,0.1662,0,0,444.2,0.0,0,0,0,0,0
1700175620,18,103497.39,9.2064,276.2,0.1444,4,3,191.9,169.1,1,1,1,1,1
1700176520,18,103708.21,7.6645,229.9,0.1735,2,1,68.1,156.1,1,1,1,1,1
1700177420,18,103539.07,5.144,154.3,0.2585,0,0,250.3,0.0,0,0,0,0,0
1700178320,18,103693.94,9.1836,275.5,0.1448,2,1,287.2,35.4,1,1,0,0,0
1700179220,19,103663.25,8.6173,258.5,0.1543,3,2,136.4,156.3,1,1,1,1,1
