distance_usd,secs_remaining,p_cross,n,session
1680,10,0.0,259199,ALL
1685,10,0.0,259199,ALL
1690,10,0.0,259199,ALL
1695,10,0.0,259199,ALL
1700,10,0.0,259199,ALL
1705,10,0.0,259199,ALL
1710,10,0.0,259199,ALL
1715,10,0.0,259199,ALL
1720,10,0.0,259199,ALL
1725,10,0.0,259199,ALL
1730,10,0.0,259199,ALL
1735,10,0.0,259199,ALL
1740,10,0.0,259199,ALL
1745,10,0.0,259199,ALL
1750,10,0.0,259199,ALL
1755,10,0.0,259199,ALL
1760,10,0.0,259199,ALL
1765,10,0.0,259199,ALL
1770,10,0.0,259199,ALL
1775,10,0.0,259199,ALL
1780,10,0.0,259199,ALL
1785,10,0.0,259199,ALL
1790,10,0.0,259199,ALL
1795,10,0.0,259199,ALL
1800,10,0.0,259199,ALL
1805,10,0.0,259199,ALL
1810,10,0.0,259199,ALL
1815,10,0.0,259199,ALL
1820,10,0.0,259199,ALL
1825,10,0.0,259199,ALL
1830,10,0.0,259199,ALL
1835,10,0.0,259199,ALL
1840,10,0.0,259199,ALL
1845,10,0.0,259199,ALL
1850,10,0.0,259199,ALL
1855,10,0.0,259199,ALL
1860,10,0.0,259199,ALL
1865,10,0.0,259199,ALL
1870,10,0.0,259199,ALL
1875,10,0.0,259199,ALL
1880,10,0.0,259199,ALL
1885,10,0.0,259199,ALL
1890,10,0.0,259199,ALL
1895,10,0.0,259199,ALL
1900,10,0.0,259199,ALL
1905,10,0.0,259199,ALL
1910,10,0.0,259199,ALL
1915,10,0.0,259199,ALL
1920,10,0.0,259199,ALL
1925,10,0.0,259199,ALL
1930,10,0.0,259199,ALL
1935,10,0.0,259199,ALL
1940,10,0.0,259199,ALL
1945,10,0.0,259199,ALL
1950,10,0.0,259199,ALL
1955,10,0.0,259199,ALL
1960,10,0.0,259199,ALL
1965,10,0.0,259199,ALL
1970,10,0.0,259199,ALL
1975,10,0.0,259199,ALL
1980,10,0.0,259199,ALL
1985,10,0.0,259199,ALL
1990,10,0.0,259199,ALL
1995,10,0.0,259199,ALL
2000,10,0.0,259199,ALL
50,10,0.034033,70020,ASIA
55,10,0.019109,70020,ASIA
60,10,0.010668,70020,ASIA
65,10,0.005713,70020,ASIA
70,10,0.002871,70020,ASIA
75,10,0.001485,70020,ASIA
80,10,0.000857,70020,ASIA
85,10,0.000557,70020,ASIA
90,10,0.0003,70020,ASIA
95,10,0.000143,70020,ASIA
100,10,7.1e-05,70020,ASIA
105,10,4.3e-05,70020,ASIA
110,10,1.4e-05,70020,ASIA
115,10,0.0,70020,ASIA
120,10,0.0,70020,ASIA
125,10,0.0,70020,ASIA
130,10,0.0,70020,ASIA
135,10,0.0,70020,ASIA
140,10,0.0,70020,ASIA
145,10,0.0,70020,ASIA
150,10,0.0,70020,ASIA
155,10,0.0,70020,ASIA
160,10,0.0,70020,ASIA
165,10,0.0,70020,ASIA
170,10,0.0,70020,ASIA
175,10,0.0,70020,ASIA
180,10,0.0,70020,ASIA
185,10,0.0,70020,ASIA
190,10,0.0,70020,ASIA
195,10,0.0,70020,ASIA
200,10,0.0,70020,ASIA
205,10,0.0,70020,ASIA
210,10,0.0,70020,ASIA
215,10,0.0,70020,ASIA
220,10,0.0,70020,ASIA
225,10,0.0,70020,ASIA
230,10,0.0,70020,ASIA
235,10,0.0,70020,ASIA
240,10,0.0,70020,ASIA
245,10,0.0,70020,ASIA
250,10,0.0,70020,ASIA
255,10,0.0,70020,ASIA
260,10,0.0,70020,ASIA
265,10,0.0,70020,ASIA
270,10,0.0,70020,ASIA
275,10,0.0,70020,ASIA
280,10,0.0,70020,ASIA
285,10,0.0,70020,ASIA
290,10,0.0,70020,ASIA
295,10,0.0,70020,ASIA
300,10,0.0,70020,ASIA
305,10,0.0,70020,ASIA
310,10,0.0,70020,ASIA
315,10,0.0,70020,ASIA
320,10,0.0,70020,ASIA
325,10,0.0,70020,ASIA
330,10,0.0,70020,ASIA
335,10,0.0,70020,ASIA
340,10,0.0,70020,ASIA
345,10,0.0,70020,ASIA
350,10,0.0,70020,ASIA
355,10,0.0,70020,ASIA
360,10,0.0,70020,ASIA
365,10,0.0,70020,ASIA
370,10,0.0,70020,ASIA
375,10,0.0,70020,ASIA
380,10,0.0,70020,ASIA
385,10,0.0,70020,ASIA
390,10,0.0,70020,ASIA
395,10,0.0,70020,ASIA
400,10,0.0,70020,ASIA
405,10,0.0,70020,ASIA
410,10,0.0,70020,ASIA
415,10,0.0,70020,ASIA
420,10,0.0,70020,ASIA
425,10,0.0,70020,ASIA
430,10,0.0,70020,ASIA
435,10,0.0,70020,ASIA
440,10,0.0,70020,ASIA
445,10,0.0,70020,ASIA
450,10,0.0,70020,ASIA
455,10,0.0,70020,ASIA
460,10,0.0,70020,ASIA
465,10,0.0,70020,ASIA
470,10,0.0,70020,ASIA
475,10,0.0,70020,ASIA
480,10,0.0,70020,ASIA
485,10,0.0,70020,ASIA
490,10,0.0,70020,ASIA
495,10,0.0,70020,ASIA
500,10,0.0,70020,ASIA
505,10,0.0,70020,ASIA
510,10,0.0,70020,ASIA
515,10,0.0,70020,ASIA
520,10,0.0,70020,ASIA
525,10,0.0,70020,ASIA
530,10,0.0,70020,ASIA
535,10,0.0,70020,ASIA
540,10,0.0,70020,ASIA
545,10,0.0,70020,ASIA
550,10,0.0,70020,ASIA
555,10,0.0,70020,ASIA
560,10,0.0,70020,ASIA
565,10,0.0,70020,ASIA
570,10,0.0,70020,ASIA
575,10,0.0,70020,ASIA
580,10,0.0,70020,ASIA
585,10,0.0,70020,ASIA
590,10,0.0,70020,ASIA
595,10,0.0,70020,ASIA
600,10,0.0,70020,ASIA
605,10,0.0,70020,ASIA
610,10,0.0,70020,ASIA
615,10,0.0,70020,ASIA
620,10,0.0,70020,ASIA
625,10,0.0,70020,ASIA
630,10,0.0,70020,ASIA
635,10,0.0,70020,ASIA
640,10,0.0,70020,ASIA
645,10,0.0,70020,ASIA
650,10,0.0,70020,ASIA
655,10,0.0,70020,ASIA
660,10,0.0,70020,ASIA
665,10,0.0,70020,ASIA
670,10,0.0,70020,ASIA
675,10,0.0,70020,ASIA
680,10,0.0,70020,ASIA
685,10,0.0,70020,ASIA
690,10,0.0,70020,ASIA
695,10,0.0,70020,ASIA
700,10,0.0,70020,ASIA
705,10,0.0,70020,ASIA
710,10,0.0,70020,ASIA
715,10,0.0,70020,ASIA
720,10,0.0,70020,ASIA
725,10,0.0,70020,ASIA
730,10,0.0,70020,ASIA
735,10,0.0,70020,ASIA
740,10,0.0,70020,ASIA
745,10,0.0,70020,ASIA
750,10,0.0,70020,ASIA
755,10,0.0,70020,ASIA
760,10,0.0,70020,ASIA
765,10,0.0,70020,ASIA
770,10,0.0,70020,ASIA
775,10,0.0,70020,ASIA
780,10,0.0,70020,ASIA
785,10,0.0,70020,ASIA
790,10,0.0,70020,ASIA
795,10,0.0,70020,ASIA
800,10,0.0,70020,ASIA
805,10,0.0,70020,ASIA
810,10,0.0,70020,ASIA
815,10,0.0,70020,ASIA
820,10,0.0,70020,ASIA
825,10,0.0,70020,ASIA
830,10,0.0,70020,ASIA
835,10,0.0,70020,ASIA
840,10,0.0,70020,ASIA
845,10,0.0,70020,ASIA
850,10,0.0,70020,ASIA
855,10,0.0,70020,ASIA
860,10,0.0,70020,ASIA
865,10,0.0,70020,ASIA
870,10,0.0,70020,ASIA
875,10,0.0,70020,ASIA
880,10,0.0,70020,ASIA
885,10,0.0,70020,ASIA
890,10,0.0,70020,ASIA
895,10,0.0,70020,ASIA
900,10,0.0,70020,ASIA
905,10,0.0,70020,ASIA
910,10,0.0,70020,ASIA
915,10,0.0,70020,ASIA
920,10,0.0,70020,ASIA
925,10,0.0,70020,ASIA
930,10,0.0,70020,ASIA
935,10,0.0,70020,ASIA
940,10,0.0,70020,ASIA
945,10,0.0,70020,ASIA
950,10,0.0,70020,ASIA
955,10,0.0,70020,ASIA
960,10,0.0,70020,ASIA
965,10,0.0,70020,ASIA
970,10,0.0,70020,ASIA
975,10,0.0,70020,ASIA
980,10,0.0,70020,ASIA
985,10,0.0,70020,ASIA
990,10,0.0,70020,ASIA
995,10,0.0,70020,ASIA
1000,10,0.0,70020,ASIA
1005,10,0.0,70020,ASIA
1010,10,0.0,70020,ASIA
1015,10,0.0,70020,ASIA
1020,10,0.0,70020,ASIA
1025,10,0.0,70020,ASIA
1030,10,0.0,70020,ASIA
1035,10,0.0,70020,ASIA
1040,10,0.0,70020,ASIA
1045,10,0.0,70020,ASIA
1050,10,0.0,70020,ASIA
1055,10,0.0,70020,ASIA
1060,10,0.0,70020,ASIA
1065,10,0.0,70020,ASIA
1070,10,0.0,70020,ASIA
1075,10,0.0,70020,ASIA
1080,10,0.0,70020,ASIA
1085,10,0.0,70020,ASIA
1090,10,0.0,70020,ASIA
1095,10,0.0,70020,ASIA
1100,10,0.0,70020,ASIA
1105,10,0.0,70020,ASIA
1110,10,0.0,70020,ASIA
1115,10,0.0,70020,ASIA
1120,10,0.0,70020,ASIA
1125,10,0.0,70020,ASIA
1130,10,0.0,70020,ASIA
1135,10,0.0,70020,ASIA
1140,10,0.0,70020,ASIA
1145,10,0.0,70020,ASIA
1150,10,0.0,70020,ASIA
1155,10,0.0,70020,ASIA
1160,10,0.0,70020,ASIA
1165,10,0.0,70020,ASIA
1170,10,0.0,70020,ASIA
1175,10,0.0,70020,ASIA
1180,10,0.0,70020,ASIA
1185,10,0.0,70020,ASIA
1190,10,0.0,70020,ASIA
1195,10,0.0,70020,ASIA
1200,10,0.0,70020,ASIA
1205,10,0.0,70020,ASIA
1210,10,0.0,70020,ASIA
1215,10,0.0,70020,ASIA
1220,10,0.0,70020,ASIA
1225,10,0.0,70020,ASIA
1230,10,0.0,70020,ASIA
1235,10,0.0,70020,ASIA
1240,10,0.0,70020,ASIA
1245,10,0.0,70020,ASIA
1250,10,0.0,70020,ASIA
1255,10,0.0,70020,ASIA
1260,10,0.0,70020,ASIA
1265,10,0.0,70020,ASIA
1270,10,0.0,70020,ASIA
1275,10,0.0,70020,ASIA
1280,10,0.0,70020,ASIA
1285,10,0.0,70020,ASIA
1290,10,0.0,70020,ASIA
1295,10,0.0,70020,ASIA
1300,10,0.0,70020,ASIA
1305,10,0.0,70020,ASIA
1310,10,0.0,70020,ASIA
1315,10,0.0,70020,ASIA
1320,10,0.0,70020,ASIA
1325,10,0.0,70020,ASIA
1330,10,0.0,70020,ASIA
1335,10,0.0,70020,ASIA
1340,10,0.0,70020,ASIA
1345,10,0.0,70020,ASIA
1350,10,0.0,70020,ASIA
1355,10,0.0,70020,ASIA
1360,10,0.0,70020,ASIA
1365,10,0.0,70020,ASIA
1370,10,0.0,70020,ASIA
1375,10,0.0,70020,ASIA
1380,10,0.0,70020,ASIA
1385,10,0.0,70020,ASIA
1390,10,0.0,70020,ASIA
1395,10,0.0,70020,ASIA
1400,10,0.0,70020,ASIA
1405,10,0.0,70020,ASIA
1410,10,0.0,70020,ASIA
1415,10,0.0,70020,ASIA
1420,10,0.0,70020,ASIA
1425,10,0.0,70020,ASIA
1430,10,0.0,70020,ASIA
1435,10,0.0,70020,ASIA
1440,10,0.0,70020,ASIA
1445,10,0.0,70020,ASIA
1450,10,0.0,70020,ASIA
1455,10,0.0,70020,ASIA
1460,10,0.0,70020,ASIA
1465,10,0.0,70020,ASIA
1470,10,0.0,70020,ASIA
1475,10,0.0,70020,ASIA
1480,10,0.0,70020,ASIA
1485,10,0.0,70020,ASIA
1490,10,0.0,70020,ASIA
1495,10,0.0,70020,ASIA
1500,10,0.0,70020,ASIA
1505,10,0.0,70020,ASIA
1510,10,0.0,70020,ASIA
1515,10,0.0,70020,ASIA
1520,10,0.0,70020,ASIA
1525,10,0.0,70020,ASIA
1530,10,0.0,70020,ASIA
1535,10,0.0,70020,ASIA
1540,10,0.0,70020,ASIA
1545,10,0.0,70020,ASIA
1550,10,0.0,70020,ASIA
1555,10,0.0,70020,ASIA
1560,10,0.0,70020,ASIA
1565,10,0.0,70020,ASIA
1570,10,0.0,70020,ASIA
1575,10,0.0,70020,ASIA
1580,10,0.0,70020,ASIA
1585,10,0.0,70020,ASIA
1590,10,0.0,70020,ASIA
1595,10,0.0,70020,ASIA
1600,10,0.0,70020,ASIA
1605,10,0.0,70020,ASIA
1610,10,0.0,70020,ASIA
1615,10,0.0,70020,ASIA
1620,10,0.0,70020,ASIA
1625,10,0.0,70020,ASIA
1630,10,0.0,70020,ASIA
1635,10,0.0,70020,ASIA
1640,10,0.0,70020,ASIA
1645,10,0.0,70020,ASIA
1650,10,0.0,70020,ASIA
1655,10,0.0,70020,ASIA
1660,10,0.0,70020,ASIA
1665,10,0.0,70020,ASIA
1670,10,0.0,70020,ASIA
1675,10,0.0,70020,ASIA
1680,10,0.0,70020,ASIA
1685,10,0.0,70020,ASIA
1690,10,0.0,70020,ASIA
1695,10,0.0,70020,ASIA
1700,10,0.0,70020,ASIA
1705,10,0.0,70020,ASIA
1710,10,0.0,70020,ASIA
1715,10,0.0,70020,ASIA
1720,10,0.0,70020,ASIA
1725,10,0.0,70020,ASIA
1730,10,0.0,70020,ASIA
1735,10,0.0,70020,ASIA
1740,10,0.0,70020,ASIA
1745,10,0.0,70020,ASIA
1750,10,0.0,70020,ASIA
1755,10,0.0,70020,ASIA
1760,10,0.0,70020,ASIA
1765,10,0.0,70020,ASIA
1770,10,0.0,70020,ASIA
1775,10,0.0,70020,ASIA
1780,10,0.0,70020,ASIA
1785,10,0.0,70020,ASIA
1790,10,0.0,70020,ASIA
1795,10,0.0,70020,ASIA
1800,10,0.0,70020,ASIA
1805,10,0.0,70020,ASIA
1810,10,0.0,70020,ASIA
1815,10,0.0,70020,ASIA
1820,10,0.0,70020,ASIA
1825,10,0.0,70020,ASIA
1830,10,0.0,70020,ASIA
1835,10,0.0,70020,ASIA
1840,10,0.0,70020,ASIA
1845,10,0.0,70020,ASIA
1850,10,0.0,70020,ASIA
1855,10,0.0,70020,ASIA
1860,10,0.0,70020,ASIA
1865,10,0.0,70020,ASIA
1870,10,0.0,70020,ASIA
1875,10,0.0,70020,ASIA
1880,10,0.0,70020,ASIA
1885,10,0.0,70020,ASIA
1890,10,0.0,70020,ASIA
1895,10,0.0,70020,ASIA
1900,10,0.0,70020,ASIA
1905,10,0.0,70020,ASIA
1910,10,0.0,70020,ASIA
1915,10,0.0,70020,ASIA
1920,10,0.0,70020,ASIA
1925,10,0.0,70020,ASIA
1930,10,0.0,70020,ASIA
1935,10,0.0,70020,ASIA
1940,10,0.0,70020,ASIA
1945,10,0.0,70020,ASIA
1950,10,0.0,70020,ASIA
1955,10,0.0,70020,ASIA
1960,10,0.0,70020,ASIA
1965,10,0.0,70020,ASIA
1970,10,0.0,70020,ASIA
1975,10,0.0,70020,ASIA
1980,10,0.0,70020,ASIA
1985,10,0.0,70020,ASIA
1990,10,0.0,70020,ASIA
1995,10,0.0,70020,ASIA
2000,10,0.0,70020,ASIA
50,10,0.077986,43200,EU
55,10,0.051389,43200,EU
60,10,0.033218,43200,EU
65,10,0.021088,43200,EU
70,10,0.012847,43200,EU
75,10,0.007361,43200,EU
80,10,0.005,43200,EU
85,10,0.002708,43200,EU
90,10,0.001736,43200,EU
95,10,0.001065,43200,EU
100,10,0.000602,43200,EU
105,10,0.00037,43200,EU
110,10,0.000162,43200,EU
115,10,6.9e-05,43200,EU
120,10,4.6e-05,43200,EU
125,10,4.6e-05,43200,EU
130,10,2.3e-05,43200,EU
135,10,0.0,43200,EU
140,10,0.0,43200,EU
145,10,0.0,43200,EU
150,10,0.0,43200,EU
155,10,0.0,43200,EU
160,10,0.0,43200,EU
165,10,0.0,43200,EU
170,10,0.0,43200,EU
175,10,0.0,43200,EU
180,10,0.0,43200,EU
185,10,0.0,43200,EU
190,10,0.0,43200,EU
195,10,0.0,43200,EU
200,10,0.0,43200,EU
205,10,0.0,43200,EU
210,10,0.0,43200,EU
215,10,0.0,43200,EU
220,10,0.0,43200,EU
225,10,0.0,43200,EU
230,10,0.0,43200,EU
235,10,0.0,43200,EU
240,10,0.0,43200,EU
245,10,0.0,43200,EU
250,10,0.0,43200,EU
255,10,0.0,43200,EU
260,10,0.0,43200,EU
265,10,0.0,43200,EU
270,10,0.0,43200,EU
275,10,0.0,43200,EU
280,10,0.0,43200,EU
285,10,0.0,43200,EU
290,10,0.0,43200,EU
295,10,0.0,43200,EU
300,10,0.0,43200,EU
305,10,0.0,43200,EU
310,10,0.0,43200,EU
315,10,0.0,43200,EU
320,10,0.0,43200,EU
325,10,0.0,43200,EU
330,10,0.0,43200,EU
335,10,0.0,43200,EU
340,10,0.0,43200,EU
345,10,0.0,43200,EU
350,10,0.0,43200,EU
355,10,0.0,43200,EU
360,10,0.0,43200,EU
365,10,0.0,43200,EU
370,10,0.0,43200,EU
375,10,0.0,43200,EU
380,10,0.0,43200,EU
385,10,0.0,43200,EU
390,10,0.0,43200,EU
395,10,0.0,43200,EU
400,10,0.0,43200,EU
405,10,0.0,43200,EU
410,10,0.0,43200,EU
415,10,0.0,43200,EU
420,10,0.0,43200,EU
425,10,0.0,43200,EU
430,10,0.0,43200,EU
435,10,0.0,43200,EU
440,10,0.0,43200,EU
445,10,0.0,43200,EU
450,10,0.0,43200,EU
455,10,0.0,43200,EU
460,10,0.0,43200,EU
465,10,0.0,43200,EU
470,10,0.0,43200,EU
475,10,0.0,43200,EU
480,10,0.0,43200,EU
485,10,0.0,43200,EU
490,10,0.0,43200,EU
495,10,0.0,43200,EU
500,10,0.0,43200,EU
505,10,0.0,43200,EU
510,10,0.0,43200,EU
515,10,0.0,43200,EU
520,10,0.0,43200,EU
525,10,0.0,43200,EU
